"year","category","winners","nominees"
"1935","Outstanding Production","Columbia - It Happened One Night","Metro-Goldwyn-Mayer - The Barretts of Wimpole Street, Paramount - Cleopatra, First National - Flirtation Walk, RKO Radio - The Gay Divorcee, Warner Bros. - Here Comes the Navy, 20th Century - The House of Rothschild, Universal - Imitation of Life, Columbia - One Night of Love, Metro-Goldwyn-Mayer - The Thin Man, Metro-Goldwyn-Mayer - Viva Villa!, Jesse L. Lasky (production company) - The White Parade"
"1935","Short Subject (Cartoon)","Walt Disney, Producer - The Tortoise and the Hare","Charles Mintz, Producer - Holiday Land, Walter Lantz, Producer - Jolly Little Elves"
"1935","Short Subject (Comedy)","Kenneth Macgowan, Producer - La Cucaracha","Jules White, Producer - Men in Black, Warner Bros. - What, No Men!"
"1935","Short Subject (Novelty)","Stacy Woodard and Horace Woodard, Producers - City of Wax","Skibo Productions - Bosom Friends, Pete Smith, Producer - Strikes and Spares"
"1935","Sound Recording","Columbia Studio Sound Department, John Livadary, Sound Director - One Night of Love","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director - The Affairs of Cellini, Paramount Studio Sound Department, Franklin B. Hansen, Sound Director - Cleopatra, Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director - Flirtation Walk, RKO Radio Studio Sound Department, Carl Dreher, Sound Director - The Gay Divorcee, Universal Studio Sound Department, Theodore Soderberg, Sound Director - Imitation of Life, Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director - Viva Villa!, Fox Studio Sound Department, E. H. Hansen, Sound Director - The White Parade"
"1935","Writing (Adaptation)","Robert Riskin - It Happened One Night","Frances Goodrich, Albert Hackett - The Thin Man, Ben Hecht - Viva Villa!"
"1935","Writing (Original Story)","Arthur Caesar - Manhattan Melodrama","Mauri Grashin - Hide-Out, Norman Krasna - The Richest Girl in the World"
"1936","Actor","Victor McLaglen - The Informer","Clark Gable - Mutiny on the Bounty, Charles Laughton - Mutiny on the Bounty, Paul Muni - Black Fury, Franchot Tone - Mutiny on the Bounty"
"1936","Actress","Bette Davis - Dangerous","Elisabeth Bergner - Escape Me Never, Claudette Colbert - Private Worlds, Katharine Hepburn - Alice Adams, Miriam Hopkins - Becky Sharp, Merle Oberon - The Dark Angel"
"1936","Art Direction","Richard Day - The Dark Angel","Hans Dreier, Roland Anderson - The Lives of a Bengal Lancer, Van Nest Polglase, Carroll Clark - Top Hat"
"1936","Assistant Director","Clem Beauchamp, Paul Wing - The Lives of a Bengal Lancer","Joseph Newman - David Copperfield, Eric Stacey - Les Misérables, Sherry Shourds - A Midsummer Night's Dream"
"1936","Cinematography","Hal Mohr - A Midsummer Night's Dream","Ray June - Barbary Coast, Victor Milner - The Crusades, Gregg Toland - Les Misérables"
